names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Never Back Down 2: The Beatdown,09/13/2011 ,65.0,"Drama, Action",Four fighters from different backgrounds come together to train under an ex MMA rising star and then ultimately have to fight each other and the traitor in their midst.,"Michael Jai White, Case Walker, Gralen Bryant Banks, Frankie, Alex Meraz, Zack Gomes, Stacey Asaro, Receptionist, Rus Blackwell, Cop, Beau Brasso, Fighter, Dean Geyer, Mike Stokes, Scottie Epstein, Justin Epstein, Todd Duffee, Tim Newhouse",Never Back Down 2: The Beatdown, Released, English,3000000.0,0.0,US
The Huntsman: Winter's War,04/07/2016 ,63.0,"Action, Adventure, Drama","As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.","Chris Hemsworth, The Huntsman, Charlize Theron, Queen Ravenna, Emily Blunt, Freya, Jessica Chastain, Sara, Nick Frost, Nion, Sam Claflin, William, Rob Brydon, Gryff, Sheridan Smith, Mrs. Bromwyn, Alexandra Roach, Doreena",The Huntsman: Winter's War, Released, English,115000000.0,164989338.0,AU
Marriage Story,11/06/2019 ,78.0,Drama,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.","Adam Driver, Charlie Barber, Scarlett Johansson, Nicole Barber, Laura Dern, Nora Fanshaw, Alan Alda, Bert Spitz, Ray Liotta, Jay Marotta, Julie Hagerty, Sandra, Merritt Wever, Cassie, Azhy Robertson, Henry Barber, Wallace Shawn, Frank",Marriage Story, Released, English,18000000.0,321463.0,AU
17 Again,03/11/2009 ,63.0,Comedy,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.","Zac Efron, Mike O'Donnell, Leslie Mann, Scarlett O'Donnell, Thomas Lennon, Ned Gold, Michelle Trachtenberg, Maggie O'Donnell, Sterling Knight, Alex O'Donnell, Matthew Perry, Mike O'Donnell (Adult), Tyler Steelman, Ned Gold (Teen), Allison Miller, Scarlett (Teen), Adam Gregory, Dom",17 Again, Released, English,40000000.0,139474906.0,AU
Carrie,11/04/2002 ,61.0,"Drama, Horror, TV Movie","Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.","Angela Bettis, Carrie White, Patricia Clarkson, Margaret White, Rena Sofer, Miss Desjarden, Kandyse McClure, Sue Snell, Emilie de Ravin, Christine Hargenson, Tobias Mehler, Tommy Ross, Jesse Cadotte, Billy Nolan, Meghan Black, Norma Watson, Chelan Simmons, Helen Shyres",Carrie, Released, English,30000000.0,82409520.0,US
Carrie,11/04/2002 ,61.0,"Drama, Horror, TV Movie","Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.","Angela Bettis, Carrie White, Patricia Clarkson, Margaret White, Rena Sofer, Miss Desjarden, Kandyse McClure, Sue Snell, Emilie de Ravin, Christine Hargenson, Tobias Mehler, Tommy Ross, Jesse Cadotte, Billy Nolan, Meghan Black, Norma Watson, Chelan Simmons, Helen Shyres",Carrie, Released, English,1800000.0,25886736.0,US
Ghost in the Shell,09/23/1995 ,79.0,"Action, Animation, Science Fiction","In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster.","Atsuko Tanaka, Motoko Kusanagi (voice), Akio Otsuka, Batou (voice), Iemasa Kayumi, Puppetmaster (voice), Koichi Yamadera, Togusa (voice), Yutaka Nakano, Ishikawa (voice), Tamio Ohki, Aramaki (voice), Tessyo Genda, Director Nakamura (voice), Naruki Masahisa, Dr. Willis (voice), Masato Yamanouchi, Minister of Foreign Affairs (voice)", GHOST IN THE SHELL, Released, Japanese,110000000.0,167910690.0,AU
Chungking Express,12/26/1995 ,80.0,"Drama, Comedy, Romance","Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.","Takeshi Kaneshiro, Ho Chi-mo / Cop 223, Brigitte Lin, Woman in Blonde Wig, Tony Leung Chiu-wai, Cop 663, Faye Wong, Faye, Valerie Chow, Air Hostess, Piggy Chan Kam-Chuen, Owner of Eatery, Kwan Lee-na, May, Wong Chi-Ming, K Store Clerk, Leung San, Replacement for Cop 663", 重慶森林, Released, Cantonese,160000.0,59502343.4,AU
Charlie's Angels,11/14/2019 ,65.0,"Action, Adventure, Comedy","When a systems engineer blows the whistle on a dangerous technology, Charlie's Angels from across the globe are called into action, putting their lives on the line to protect society.","Kristen Stewart, Sabina Wilson, Naomi Scott, Elena Houghlin, Ella Balinska, Jane Kano, Elizabeth Banks, Bosley, Patrick Stewart, John Bosley, Djimon Hounsou, Bosley, Sam Claflin, Brok, Noah Centineo, Langston, Nat Faxon, Fleming",Charlie's Angels, Released, English,90000000.0,259736090.0,AU
The Great Gatsby,05/30/2013 ,74.0,"Drama, Romance","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","Leonardo DiCaprio, Jay Gatsby, Tobey Maguire, Nick Carraway, Carey Mulligan, Daisy Buchanan, Joel Edgerton, Tom Buchanan, Elizabeth Debicki, Jordan Baker, Isla Fisher, Myrtle Wilson, Jason Clarke, George Wilson, Amitabh Bachchan, Meyer Wolfsheim, Callan McAuliffe, Teen Jay Gatsby",The Great Gatsby, Released, English,190000000.0,353640419.0,AU
